x0000,y0000
0,14,
1,21,
2,10,
3,12,
4,-5,
5,9,
6,12,
7,12,
8,11,
9,9,
10,19,
11,15,
12,10,
13,9,
14,13,
15,14,
16,22,
17,17,
18,11,
19,12,
20,11,
21,1,
22,12,
23,21,
24,14,
25,19,
26,24,
27,15,
28,19,
29,14,
30,15,
31,15,
32,11,
33,19,
34,22,
35,16,
36,17,
37,17,
38,11,
39,9,
40,14,
41,10,
42,17,
43,17,
44,11,
45,14,
46,13,
47,15,
48,17,
49,13,
50,18,
51,12,
52,12,
53,14,
54,20,
55,12,
56,18,
57,8,
58,14,
59,9,
60,13,
61,16,
62,15,
63,15,
64,16,
65,20,
66,12,
67,11,
68,16,
69,19,
70,11,
71,10,
72,23,
73,19,
74,17,
75,12,
76,15,
77,13,
78,19,
79,9,
80,19,
81,21,
82,18,
83,16,
84,23,
85,11,
86,21,
87,15,
88,22,
89,15,
90,18,
91,3,
92,21,
93,10,
94,12,
95,10,
96,-5,
97,7,
98,11,
99,14,
100,12,
101,17,
102,5,
103,15,
104,16,
105,11,
106,0,
107,17,
108,3,
109,15,
110,14,
111,9,
112,12,
113,12,
114,18,
115,17,
116,16,
117,7,
118,20,
119,16,
120,24,
121,14,
122,17,
123,20,
124,13,
125,22,
126,22,
127,14,
128,15,
129,12,
130,14,
131,9,
132,18,
133,18,
134,11,
135,15,
136,15,
137,17,
138,21,
139,-7,
140,15,
141,-410,
142,-1,
143,20,
144,21,
145,18,
146,9,
147,10,
148,14,
149,-5,
150,8,
151,14,
152,7,
153,20,
154,18,
155,14,
156,9,
157,13,
158,20,
159,12,
160,11,
161,12,
162,23,
163,12,
164,16,
165,12,
166,-4,
167,11,
168,7,
169,13,
170,16,
171,18,
172,17,
173,15,
174,13,
175,12,
176,17,
177,9,
178,14,
179,14,
180,14,
181,11,
182,18,
183,20,
184,19,
185,14,
186,18,
187,24,
188,19,
189,11,
190,16,
191,11,
192,14,
193,21,
194,24,
195,8,
196,16,
197,19,
198,13,
199,21,
