x0000,y0000
0,43,
1,46,
2,42,
3,45,
4,27,
5,36,
6,43,
7,43,
8,41,
9,35,
10,43,
11,42,
12,42,
13,38,
14,42,
15,39,
16,47,
17,38,
18,40,
19,44,
20,43,
21,31,
22,44,
23,50,
24,48,
25,52,
26,56,
27,44,
28,47,
29,44,
30,47,
31,48,
32,47,
33,53,
34,57,
35,45,
36,52,
37,54,
38,44,
39,49,
40,57,
41,43,
42,47,
43,45,
44,40,
45,36,
46,43,
47,46,
48,48,
49,36,
50,55,
51,39,
52,37,
53,44,
54,51,
55,43,
56,53,
57,42,
58,49,
59,41,
60,43,
61,44,
62,47,
63,53,
64,57,
65,49,
66,49,
67,51,
68,48,
69,53,
70,45,
71,47,
72,55,
73,54,
74,52,
75,45,
76,49,
77,52,
78,53,
79,44,
80,54,
81,48,
82,53,
83,48,
84,46,
85,47,
86,44,
87,50,
88,50,
89,51,
90,60,
91,40,
92,52,
93,48,
94,45,
95,43,
96,25,
97,39,
98,47,
99,46,
100,45,
101,47,
102,48,
103,48,
104,48,
105,43,
106,30,
107,51,
108,46,
109,46,
110,43,
111,46,
112,50,
113,48,
114,46,
115,46,
116,53,
117,36,
118,60,
119,50,
120,60,
121,47,
122,47,
123,50,
124,53,
125,51,
126,48,
127,49,
128,48,
129,47,
130,51,
131,44,
132,52,
133,52,
134,44,
135,51,
136,45,
137,50,
138,56,
139,27,
140,50,
141,-409,
142,32,
143,50,
144,54,
145,52,
146,46,
147,42,
148,43,
149,27,
150,41,
151,41,
152,44,
153,48,
154,49,
155,47,
156,39,
157,45,
158,53,
159,40,
160,43,
161,50,
162,50,
163,50,
164,42,
165,54,
166,35,
167,42,
168,45,
169,50,
170,54,
171,51,
172,47,
173,53,
174,41,
175,46,
176,43,
177,48,
178,49,
179,41,
180,50,
181,43,
182,50,
183,54,
184,51,
185,50,
186,49,
187,54,
188,51,
189,49,
190,47,
191,47,
192,46,
193,50,
194,52,
195,41,
196,53,
197,52,
198,45,
199,53,
200,48,
201,50,
202,45,
203,52,
204,53,
205,51,
206,49,
207,50,
208,45,
209,47,
210,46,
211,51,
212,44,
213,53,
214,57,
215,46,
216,52,
217,54,
218,46,
219,51,
220,42,
221,49,
222,41,
223,49,
224,47,
225,53,
226,49,
227,57,
228,46,
229,44,
230,43,
231,47,
232,47,
233,53,
234,50,
235,53,
236,58,
237,54,
238,46,
239,50,
240,50,
241,49,
242,47,
243,54,
244,51,
245,51,
246,51,
247,43,
248,55,
249,51,
250,57,
251,50,
252,50,
253,48,
254,40,
255,55,
256,52,
257,35,
258,52,
259,55,
260,55,
261,50,
262,46,
263,48,
264,53,
265,56,
266,52,
267,51,
268,50,
269,52,
270,50,
271,34,
272,51,
273,48,
274,41,
275,47,
276,-67,
277,40,
278,54,
279,52,
280,48,
281,55,
282,44,
283,53,
284,51,
285,52,
286,50,
287,57,
288,39,
289,50,
290,52,
291,53,
292,58,
293,50,
294,47,
295,49,
296,53,
297,56,
298,54,
299,51,
300,45,
301,54,
302,48,
303,43,
304,43,
305,51,
306,51,
307,41,
308,47,
309,48,
310,50,
311,48,
312,55,
313,44,
314,46,
315,48,
316,55,
317,48,
318,49,
319,51,
320,50,
321,47,
322,46,
323,47,
324,54,
325,56,
326,45,
327,52,
328,45,
329,50,
330,55,
331,57,
332,56,
333,47,
334,50,
335,53,
336,57,
337,51,
338,55,
339,52,
340,47,
341,53,
342,38,
343,50,
344,51,
345,49,
346,52,
347,52,
348,50,
349,51,
350,51,
351,43,
352,54,
353,49,
354,50,
355,39,
356,45,
357,58,
358,50,
359,45,
360,41,
361,48,
362,48,
363,57,
364,58,
365,44,
366,49,
367,53,
368,56,
369,54,
370,53,
371,55,
372,56,
373,51,
374,56,
375,64,
376,50,
377,51,
378,59,
379,46,
380,55,
381,53,
382,52,
383,50,
384,33,
385,52,
386,48,
387,47,
388,49,
389,53,
390,53,
391,46,
392,49,
393,61,
394,50,
395,57,
396,51,
397,53,
398,51,
399,57,
400,53,
401,54,
402,50,
403,46,
404,55,
405,53,
406,59,
407,53,
408,57,
409,56,
410,50,
411,59,
412,58,
413,48,
414,59,
415,26,
416,59,
417,54,
418,49,
419,50,
420,47,
421,53,
422,49,
423,53,
424,48,
425,52,
426,57,
427,50,
428,41,
429,51,
430,58,
431,56,
432,47,
433,55,
434,57,
435,52,
436,49,
437,56,
438,45,
439,59,
440,54,
441,55,
442,55,
443,57,
444,61,
445,54,
446,51,
447,56,
448,55,
449,55,
450,57,
451,39,
452,44,
453,61,
454,58,
455,62,
456,57,
457,35,
458,59,
459,60,
460,56,
461,60,
462,56,
463,60,
464,55,
465,60,
466,64,
467,54,
468,60,
469,61,
470,62,
471,58,
472,58,
473,57,
474,53,
475,56,
476,57,
477,65,
478,56,
479,65,
480,59,
481,57,
482,58,
483,60,
484,52,
485,62,
486,61,
487,55,
488,54,
489,63,
490,62,
491,64,
492,61,
493,67,
494,63,
495,62,
496,61,
497,68,
498,70,
499,55,
500,63,
501,63,
502,59,
503,70,
504,68,
505,57,
506,72,
507,64,
508,60,
509,67,
510,66,
511,70,
512,68,
513,64,
514,76,
515,63,
516,70,
517,72,
518,70,
519,66,
520,68,
521,76,
522,70,
523,68,
524,64,
525,69,
526,71,
527,70,
528,69,
529,74,
530,71,
531,64,
532,64,
533,76,
534,63,
535,75,
536,77,
537,76,
538,66,
539,75,
540,76,
541,74,
542,74,
543,73,
544,81,
545,74,
546,79,
547,70,
548,74,
549,77,
550,77,
551,74,
552,74,
553,70,
554,82,
555,73,
556,76,
557,88,
558,86,
559,81,
560,85,
561,82,
562,63,
563,77,
564,82,
565,78,
566,86,
567,76,
568,79,
569,86,
570,94,
571,85,
572,82,
573,83,
574,80,
575,69,
576,81,
577,97,
578,84,
579,80,
580,90,
581,66,
582,85,
583,84,
584,93,
585,84,
586,90,
587,94,
588,94,
589,86,
590,100,
591,99,
592,91,
593,93,
594,103,
595,90,
596,91,
597,104,
598,101,
599,93,
600,105,
601,111,
602,109,
603,110,
604,97,
605,93,
606,111,
607,110,
608,108,
609,114,
610,116,
611,113,
612,105,
613,118,
614,116,
615,125,
616,117,
617,118,
618,107,
619,122,
620,125,
621,128,
622,118,
623,129,
624,120,
625,122,
626,138,
627,130,
628,124,
629,129,
630,140,
631,138,
632,136,
633,130,
634,142,
635,139,
636,134,
637,139,
638,135,
639,144,
640,144,
641,143,
642,146,
643,143,
644,136,
645,150,
646,156,
647,130,
648,150,
649,141,
650,150,
651,139,
652,143,
653,153,
654,169,
655,165,
656,151,
657,171,
658,169,
659,160,
660,159,
661,164,
662,160,
663,165,
664,162,
665,162,
666,160,
667,167,
668,143,
669,180,
670,162,
671,183,
672,174,
673,181,
674,175,
675,182,
676,193,
677,184,
678,178,
679,195,
680,178,
681,182,
682,188,
683,187,
684,189,
685,193,
686,192,
687,190,
688,193,
689,197,
690,206,
691,196,
692,201,
693,210,
694,213,
695,207,
696,208,
697,225,
698,223,
699,229,
700,233,
701,235,
702,228,
703,233,
704,230,
705,222,
706,241,
707,219,
708,239,
709,237,
710,228,
711,252,
712,254,
713,239,
714,248,
715,243,
716,254,
717,264,
718,261,
719,251,
720,269,
721,257,
722,259,
723,263,
724,266,
725,266,
726,282,
727,278,
728,266,
729,271,
730,273,
731,283,
732,272,
733,284,
734,287,
735,285,
736,269,
737,294,
738,289,
739,272,
740,294,
741,313,
742,305,
743,304,
744,292,
745,322,
746,301,
747,309,
748,314,
749,299,
750,300,
751,331,
752,319,
753,311,
754,313,
755,338,
756,331,
757,321,
758,325,
759,338,
760,351,
761,346,
762,344,
763,339,
764,342,
765,339,
766,348,
767,368,
768,357,
769,361,
770,373,
771,374,
772,375,
773,378,
774,386,
775,395,
776,389,
777,384,
778,392,
779,392,
780,403,
781,400,
782,416,
783,409,
