x0000,y0000
0,-17,
1,-16,
2,-20,
3,-13,
4,-24,
5,-21,
6,-20,
7,-7,
8,-6,
9,-19,
10,-14,
11,-15,
12,-16,
13,-18,
14,-12,
15,-17,
16,-15,
17,-15,
18,-14,
19,-16,
20,-15,
21,-25,
22,-14,
23,-6,
24,-6,
25,-3,
26,9,
27,-1,
28,5,
29,3,
30,-2,
31,-1,
32,-2,
33,4,
34,12,
35,-1,
36,-2,
37,3,
38,0,
39,1,
40,0,
41,-4,
42,-1,
43,-3,
44,0,
45,-6,
46,-7,
47,-1,
48,-1,
49,-4,
50,3,
51,-6,
52,-3,
53,0,
54,0,
55,-4,
56,3,
57,-3,
58,1,
59,-1,
60,-2,
61,-4,
62,0,
63,2,
64,1,
65,5,
66,-4,
67,0,
68,6,
69,2,
70,-5,
71,-5,
72,10,
73,4,
74,10,
75,-5,
76,10,
77,-4,
78,6,
79,-7,
80,2,
81,4,
82,3,
83,4,
84,8,
85,9,
86,-1,
87,-1,
88,8,
89,3,
90,6,
91,-12,
92,5,
93,-8,
94,3,
95,-3,
96,-15,
97,2,
98,7,
99,0,
100,2,
101,-1,
102,-3,
103,0,
104,2,
105,-4,
106,-6,
107,7,
108,3,
109,3,
110,0,
111,5,
112,3,
113,2,
114,8,
115,5,
116,5,
117,-1,
118,13,
119,3,
120,9,
121,4,
122,11,
123,8,
124,14,
125,9,
126,7,
127,10,
128,14,
129,5,
130,-1,
131,3,
132,6,
133,3,
134,8,
135,13,
136,8,
137,4,
138,13,
139,-4,
140,7,
141,-282,
142,-6,
143,9,
144,12,
145,13,
146,3,
147,4,
148,3,
149,1,
150,6,
151,-1,
152,3,
153,8,
154,13,
155,12,
156,1,
157,9,
158,14,
159,5,
160,4,
161,3,
162,13,
163,4,
164,4,
165,12,
166,-4,
167,3,
168,2,
169,11,
170,7,
171,17,
172,8,
173,11,
174,9,
175,9,
176,9,
177,8,
178,10,
179,11,
180,14,
181,8,
182,16,
183,15,
184,14,
185,12,
186,13,
187,10,
188,10,
189,14,
190,14,
191,7,
192,13,
193,15,
194,17,
195,15,
196,18,
197,14,
198,15,
199,13,
200,14,
201,17,
202,19,
203,20,
204,19,
205,21,
206,13,
207,13,
208,14,
209,9,
210,11,
211,17,
212,13,
213,18,
214,22,
