x0000,y0000
0,36,
1,37,
2,36,
3,38,
4,14,
5,37,
6,33,
7,43,
8,36,
9,27,
10,35,
11,36,
12,34,
13,35,
14,36,
15,35,
16,44,
17,41,
18,32,
19,36,
20,36,
21,29,
22,42,
23,38,
24,33,
25,39,
26,37,
27,31,
28,36,
29,29,
30,36,
31,35,
32,34,
33,41,
34,45,
35,36,
36,40,
37,38,
38,33,
39,34,
40,38,
41,34,
42,32,
43,34,
44,28,
45,34,
46,31,
47,34,
48,38,
49,30,
50,36,
51,28,
52,25,
53,36,
54,38,
55,35,
56,37,
57,29,
58,40,
59,27,
60,29,
61,36,
62,31,
63,37,
64,34,
65,33,
66,35,
67,28,
68,33,
69,38,
70,32,
71,28,
72,43,
73,38,
74,35,
75,33,
76,36,
77,34,
78,34,
79,31,
80,38,
81,32,
82,43,
83,34,
84,40,
85,36,
86,36,
87,33,
88,38,
89,38,
90,39,
91,24,
92,42,
93,31,
94,31,
95,32,
96,13,
97,28,
98,33,
99,36,
100,33,
101,33,
102,35,
103,32,
104,41,
105,33,
106,21,
107,37,
108,25,
109,33,
110,33,
111,29,
112,32,
113,40,
114,37,
115,35,
116,37,
117,21,
118,40,
119,35,
120,41,
121,32,
122,36,
123,41,
124,36,
125,33,
126,41,
127,37,
128,35,
129,34,
130,35,
131,30,
132,32,
133,38,
134,31,
135,30,
136,28,
137,35,
138,40,
139,14,
140,31,
141,-454,
142,8,
143,36,
144,34,
145,32,
146,35,
147,35,
148,35,
149,12,
150,36,
151,28,
152,32,
153,36,
154,40,
155,33,
156,31,
157,33,
158,39,
159,33,
160,37,
161,31,
162,43,
163,31,
164,36,
165,34,
166,18,
167,28,
168,28,
169,39,
170,35,
171,40,
172,37,
173,31,
174,30,
175,33,
176,30,
177,36,
178,34,
179,36,
180,40,
181,35,
182,37,
183,38,
184,37,
185,35,
186,34,
187,37,
188,35,
189,30,
190,36,
191,37,
192,38,
193,40,
194,42,
195,27,
196,37,
197,33,
198,34,
199,40,
200,38,
201,33,
202,37,
203,36,
204,38,
205,32,
206,33,
207,31,
208,33,
209,29,
210,28,
211,33,
212,28,
213,36,
214,40,
215,34,
216,36,
217,37,
218,34,
219,39,
220,23,
221,39,
222,29,
223,37,
224,31,
225,42,
226,35,
227,42,
228,30,
229,33,
230,25,
231,28,
232,24,
233,36,
234,37,
235,37,
236,39,
237,34,
238,38,
239,38,
240,38,
241,42,
242,28,
243,35,
244,34,
245,40,
246,39,
247,31,
248,40,
249,45,
250,39,
251,30,
252,34,
253,34,
254,26,
255,41,
256,36,
257,14,
258,35,
259,36,
260,38,
261,38,
262,30,
263,33,
264,33,
265,42,
266,36,
267,38,
268,31,
269,36,
270,38,
271,17,
272,40,
273,32,
274,28,
275,30,
276,-93,
277,28,
278,37,
279,37,
280,36,
281,39,
282,31,
283,34,
284,37,
285,37,
286,32,
287,36,
288,31,
289,27,
290,39,
291,39,
292,34,
293,35,
294,24,
295,31,
296,36,
297,37,
298,39,
299,36,
300,37,
301,42,
302,35,
303,30,
304,23,
305,28,
306,35,
307,23,
308,34,
