x0000,y0000
0,-3,
1,1,
2,2,
3,-8,
4,-6,
5,-4,
6,-3,
7,-2,
8,-8,
9,-13,
10,1,
11,0,
12,-3,
13,-1,
14,3,
15,-5,
16,5,
17,-4,
18,-9,
19,-2,
20,1,
21,-9,
22,-2,
23,9,
24,-6,
25,3,
26,1,
27,-5,
28,4,
29,-2,
30,2,
31,-8,
32,-8,
33,3,
34,6,
35,-3,
36,5,
37,-3,
38,-10,
39,-5,
40,-7,
41,-2,
42,-5,
43,-4,
44,-8,
45,-3,
46,-2,
47,-4,
48,-5,
49,-4,
50,-3,
51,-6,
52,-7,
53,-4,
54,1,
55,-6,
56,-4,
57,-9,
58,-8,
59,-4,
60,-8,
61,-3,
62,-4,
63,-4,
64,-5,
65,2,
66,-4,
67,0,
68,-8,
69,-2,
70,-6,
71,-4,
72,6,
73,1,
74,2,
75,-3,
76,-1,
77,-10,
78,0,
79,-5,
80,2,
81,3,
82,-4,
83,0,
84,-1,
85,4,
86,5,
87,3,
88,-1,
89,-1,
90,1,
91,-5,
92,2,
93,-11,
94,-9,
95,-9,
96,-10,
97,-4,
98,-5,
99,-3,
100,-7,
101,-7,
102,-10,
103,-8,
104,1,
105,-1,
106,-7,
107,-2,
108,-5,
109,3,
110,-4,
111,-6,
112,-4,
113,-8,
114,-1,
115,1,
116,-9,
117,3,
118,3,
119,-5,
120,2,
121,-5,
122,-4,
123,1,
124,-2,
125,-7,
126,-4,
127,-5,
128,0,
129,-1,
130,-2,
131,2,
132,-4,
133,-1,
134,1,
135,-4,
136,-5,
137,-6,
138,-2,
139,-6,
140,2,
141,79,
142,5,
143,-2,
144,0,
145,5,
146,-5,
147,-2,
148,-2,
149,-2,
150,-1,
151,1,
152,-7,
153,4,
154,-2,
155,0,
156,-9,
157,-9,
158,-7,
159,-2,
160,-6,
161,-8,
162,7,
163,-1,
164,-1,
165,0,
166,1,
167,-5,
168,-5,
169,-9,
170,-3,
171,-3,
172,-6,
173,-3,
174,-3,
175,-2,
176,-3,
177,-6,
178,-4,
179,-5,
180,-6,
181,-3,
182,-2,
183,-3,
184,0,
185,-2,
186,-2,
187,0,
188,1,
189,-3,
190,4,
191,-1,
192,5,
193,3,
194,5,
195,2,
196,19,
197,48,
198,195,
199,360,
200,366,
201,267,
202,119,
203,33,
204,18,
205,4,
206,-2,
207,2,
208,4,
209,-5,
210,-3,
211,-2,
212,-2,
213,-3,
214,-1,
215,-9,
216,1,
217,-4,
218,-10,
219,1,
220,-3,
221,-2,
222,-2,
223,-1,
224,-8,
225,-5,
226,-7,
227,3,
228,-8,
229,-7,
230,-9,
231,-14,
232,-6,
233,-1,
234,-7,
235,4,
236,3,
237,-4,
238,-3,
239,-2,
240,-3,
241,1,
242,-7,
243,1,
244,-8,
245,-2,
246,-2,
247,-8,
248,0,
249,2,
250,-3,
251,-11,
252,-3,
253,-3,
254,-7,
255,3,
256,-3,
257,-6,
258,2,
259,2,
260,-4,
261,-4,
262,1,
263,-2,
264,0,
265,-1,
266,1,
267,-6,
268,-6,
269,4,
270,-4,
271,2,
272,2,
273,0,
274,-7,
275,-1,
276,2,
277,-7,
278,-1,
279,-4,
280,-4,
281,-4,
282,-9,
283,-8,
284,-7,
285,-1,
286,-3,
287,-4,
288,-7,
289,-1,
290,-1,
291,-5,
292,0,
293,-2,
294,-13,
295,-9,
296,-1,
297,-6,
298,-5,
299,-7,
300,-2,
301,7,
302,-6,
303,1,
304,-2,
305,-8,
306,-7,
307,-8,
308,-2,
309,0,
310,-6,
311,-3,
312,0,
313,-5,
314,1,
315,-6,
316,-6,
317,0,
318,1,
319,4,
320,2,
321,-2,
322,-7,
323,-5,
324,6,
325,1,
326,-6,
327,-1,
328,-1,
329,-4,
330,-1,
331,11,
332,1,
333,-3,
334,2,
335,-7,
336,-3,
337,-3,
338,3,
339,-1,
340,-9,
341,-2,
342,-6,
343,-7,
344,1,
345,-6,
346,-3,
347,-4,
348,-4,
349,-4,
350,-10,
351,-2,
352,3,
353,-8,
354,-7,
355,-12,
356,-4,
357,3,
358,0,
359,3,
360,12,
361,3,
362,0,
363,6,
364,3,
365,-4,
366,-4,
367,-2,
368,-3,
369,-3,
370,-6,
371,-1,
372,0,
373,-6,
374,2,
375,0,
376,-3,
377,-8,
378,-1,
379,9,
380,3,
381,-3,
382,-4,
383,-4,
384,-4,
385,-1,
386,-4,
387,-1,
388,-2,
389,-1,
390,0,
391,-3,
392,-3,
393,4,
394,-3,
395,5,
396,3,
397,-2,
398,1,
399,3,
400,2,
401,6,
402,-3,
403,-1,
404,-7,
405,-3,
406,0,
407,-2,
408,-9,
409,-7,
410,-10,
411,0,
412,-1,
413,-9,
414,-2,
415,-9,
416,3,
417,-3,
418,1,
419,-4,
420,-7,
421,1,
422,-7,
423,1,
424,-3,
425,-1,
426,-1,
427,-7,
428,-7,
429,-5,
430,-6,
431,-10,
432,-8,
433,-9,
434,0,
435,-8,
436,0,
437,-7,
438,-1,
439,2,
440,-5,
441,-4,
442,-9,
443,-7,
444,0,
445,-2,
446,-2,
447,-8,
448,-2,
449,-8,
450,-3,
451,-6,
452,0,
453,1,
454,-4,
455,-5,
456,-1,
457,-7,
458,-6,
459,7,
460,5,
461,-3,
462,-4,
463,-4,
464,-5,
465,-5,
466,-9,
467,3,
468,2,
469,-3,
470,-2,
471,-2,
472,-4,
473,4,
474,3,
475,-4,
476,2,
477,-1,
478,-8,
479,-3,
480,-3,
481,-3,
482,-5,
483,-4,
484,-4,
485,-2,
486,3,
487,-8,
488,-5,
489,-4,
490,-11,
491,-3,
492,-5,
493,0,
494,-1,
495,4,
496,-1,
497,-6,
498,-6,
499,-7,
500,-1,
501,3,
502,-8,
503,10,
504,30,
505,26,
506,20,
507,12,
508,12,
509,9,
510,-1,
511,1,
512,-4,
513,-3,
514,-1,
515,-3,
516,-11,
517,-2,
518,-2,
519,-5,
520,-3,
521,-2,
522,-1,
523,-4,
524,-7,
525,-5,
526,-4,
527,1,
528,-2,
529,0,
530,-7,
531,-4,
532,-4,
533,-3,
534,0,
535,3,
536,2,
537,1,
538,0,
539,-4,
540,-1,
541,4,
542,4,
543,4,
544,1,
545,1,
546,-1,
547,4,
548,-5,
549,1,
550,-1,
551,-2,
552,-3,
553,-9,
554,4,
555,-5,
556,-8,
557,-5,
558,-3,
559,-5,
560,-5,
561,0,
562,-7,
563,1,
564,-7,
565,-7,
566,-4,
567,-4,
568,-2,
569,-2,
570,-4,
571,-3,
572,-5,
573,-4,
574,-9,
575,-8,
576,-5,
577,-2,
578,-6,
579,-13,
580,-8,
581,-6,
582,-2,
583,-9,
584,-3,
585,-10,
586,-2,
587,0,
588,-2,
589,-6,
590,2,
591,0,
592,2,
593,0,
594,-5,
595,3,
596,-3,
597,-5,
598,-6,
599,-3,
600,-1,
601,3,
602,-7,
603,3,
604,1,
605,1,
606,-1,
607,3,
608,-3,
609,-5,
610,0,
611,1,
612,7,
613,43,
614,97,
615,125,
616,91,
617,66,
618,27,
619,10,
620,1,
621,0,
622,4,
623,13,
624,8,
625,6,
626,6,
627,-3,
628,-1,
629,-3,
630,-5,
631,0,
632,-8,
633,-5,
634,0,
635,-6,
636,-9,
637,-4,
638,-4,
639,-1,
640,0,
641,-5,
642,4,
643,-3,
644,-7,
645,-1,
646,-3,
647,-5,
648,-3,
649,-1,
650,2,
651,-4,
652,-2,
653,-2,
654,0,
655,-5,
656,-1,
657,-3,
658,2,
659,-9,
660,-7,
661,-6,
662,-7,
663,-3,
664,-3,
665,-8,
666,-5,
667,-4,
668,-6,
669,-2,
670,-8,
671,0,
672,-4,
673,1,
674,-3,
675,-5,
676,0,
677,4,
678,-1,
679,1,
680,-6,
681,-3,
682,3,
683,-3,
684,1,
685,-2,
686,-3,
687,2,
688,2,
689,0,
690,-4,
691,0,
692,3,
693,2,
694,4,
695,3,
696,1,
697,8,
698,10,
699,10,
700,39,
701,222,
702,425,
703,369,
704,273,
705,166,
706,105,
707,38,
708,20,
709,2,
710,-6,
711,-6,
712,8,
713,-8,
714,-2,
715,-3,
716,4,
717,-4,
718,-5,
719,-4,
720,-2,
721,-3,
722,-3,
723,0,
724,-1,
725,-1,
726,1,
727,0,
728,-4,
729,-6,
730,-2,
731,-4,
732,-3,
733,-4,
734,-6,
735,-7,
736,-12,
737,-1,
738,-5,
739,-5,
740,-6,
741,-10,
742,-8,
743,-2,
744,-5,
745,1,
746,-7,
747,-7,
748,-1,
749,7,
750,-9,
751,0,
752,1,
753,-4,
754,1,
755,1,
756,-3,
757,-5,
758,2,
759,-5,
760,-9,
761,4,
762,-1,
763,1,
764,0,
765,3,
766,-2,
767,-2,
768,-3,
769,0,
770,-1,
771,0,
772,-4,
773,-2,
774,1,
775,-1,
776,-4,
777,-8,
778,2,
779,-2,
780,4,
781,3,
782,-5,
783,-9,
784,1,
