x0000,y0000
0,-16,
1,-8,
2,-14,
3,-11,
4,-30,
5,-20,
6,-28,
7,-12,
8,-15,
9,-28,
10,-12,
11,-11,
12,-15,
13,-18,
14,-8,
15,-16,
16,-13,
17,-13,
18,-21,
19,-19,
20,-21,
21,-23,
22,-16,
23,-11,
24,-18,
25,-16,
26,-13,
27,-17,
28,-14,
29,-12,
30,-16,
31,-13,
32,-18,
33,-7,
34,-7,
35,-17,
36,-10,
37,-14,
38,-22,
39,-17,
40,-12,
41,-21,
42,-17,
43,-16,
44,-20,
45,-22,
46,-19,
47,-17,
48,-14,
49,-16,
50,-10,
51,-23,
52,-19,
53,-16,
54,-14,
55,-17,
56,-16,
57,-26,
58,-13,
59,-20,
60,-19,
61,-18,
62,-14,
63,-15,
64,-13,
65,-12,
66,-12,
67,-15,
68,-16,
69,-10,
70,-15,
71,-23,
72,-12,
73,-9,
74,-11,
75,-21,
76,-13,
77,-21,
78,-18,
79,-22,
80,-9,
81,-15,
82,-18,
83,-15,
84,-14,
85,-19,
86,-16,
87,-18,
88,-13,
89,-10,
90,-7,
91,-24,
92,-15,
93,-19,
94,-17,
95,-21,
96,-28,
97,-18,
98,-20,
99,-18,
100,-15,
101,-17,
102,-26,
103,-19,
104,-14,
105,-15,
106,-32,
107,-17,
108,-21,
109,-11,
110,-16,
111,-20,
112,-18,
113,-14,
114,-11,
115,-20,
116,-15,
117,-23,
118,-11,
119,-22,
120,-6,
121,-19,
122,-12,
123,-17,
124,-13,
125,-12,
126,-12,
127,-12,
128,-18,
129,-22,
130,-12,
131,-14,
132,-13,
133,-13,
134,-14,
135,-20,
136,-17,
137,-15,
138,-13,
139,-31,
140,-19,
141,-316,
142,-33,
143,-12,
144,-14,
145,-14,
146,-12,
147,-19,
148,-12,
149,-29,
150,-23,
151,-16,
152,-20,
153,-20,
154,-15,
155,-12,
156,-25,
157,-18,
158,-18,
159,-21,
160,-24,
161,-19,
162,-11,
163,-16,
164,-14,
165,-17,
166,-31,
167,-17,
168,-22,
169,-24,
170,-19,
171,-15,
172,-13,
173,-13,
174,-20,
175,-16,
176,-18,
177,-19,
178,-17,
